Program Time [s],AccX,AccY,AccZ
2529.62,741.21,412.6,539.55
2529.65,742.19,413.57,534.18
2529.68,741.7,415.04,547.85
2529.72,742.68,408.69,550.29
2529.75,737.3,416.02,533.2
2529.79,718.75,415.04,544.43
2529.82,672.85,405.76,544.43
2529.85,776.86,436.04,569.34
2529.89,706.54,416.5,519.04
2529.92,764.65,414.55,556.15
2529.96,736.82,401.86,538.57
2529.99,744.14,413.57,552.73
2530.02,715.33,412.6,536.62
2530.06,743.65,423.34,547.36
2530.09,745.12,406.25,549.8
2530.12,747.56,419.43,555.18
2530.16,740.72,407.71,552.73
2530.19,732.91,415.53,545.9
2530.23,746.58,425.29,542.97
2530.26,744.14,422.36,532.23
2530.29,733.89,412.6,551.76
2530.33,739.75,420.41,540.04
2530.36,734.37,416.02,545.41
2530.4,737.79,402.34,549.8
2530.43,743.16,408.2,542.97
2530.46,741.21,411.13,525.88
2530.5,740.23,416.5,540.04
2530.53,748.54,403.81,550.78
2530.57,745.12,406.74,547.36
2530.6,734.86,413.09,528.81
2530.63,725.1,416.5,547.85
2530.67,755.86,406.74,538.09
2530.7,752.44,398.93,546.87
2530.74,749.51,410.64,554.69
2530.77,748.05,412.11,550.29
2530.8,732.91,407.23,543.95
2530.84,727.05,409.18,552.25
2530.87,740.72,401.37,549.8
2530.9,735.35,410.64,532.71
2530.94,745.61,418.46,537.11
2530.97,731.45,410.16,546.39
2531.01,749.02,404.79,538.57
2531.04,729.98,416.5,546.87
2531.07,745.12,409.67,531.74
2531.11,735.84,422.36,555.66
2531.14,731.45,418.95,553.22
2531.18,732.42,404.79,547.36
2531.21,738.77,419.43,542.48
2531.24,740.23,406.74,551.27
2531.28,762.7,417.97,554.69
2531.31,738.28,415.04,540.53
2531.35,747.56,414.06,548.34
2531.38,736.82,417.97,551.27
2531.41,742.19,421.87,553.71
2531.45,740.72,419.43,538.09
2531.48,738.28,419.92,548.34
2531.51,745.12,407.71,538.09
2531.55,742.68,431.15,545.9
2531.58,738.28,415.04,550.29
2531.62,735.84,415.53,541.99
2531.65,733.4,423.83,549.8
2531.68,741.21,407.71,556.15
2531.72,742.19,414.55,544.43
2531.75,736.33,411.13,545.41
2531.79,755.37,416.5,537.11
2531.82,738.77,409.18,545.41
2531.85,742.68,405.27,546.39
2531.89,736.82,421.39,533.69
2531.92,737.79,422.85,537.11
2531.96,727.54,417.48,551.27
2531.99,735.84,408.69,561.04
2532.02,745.12,404.79,538.57
2532.06,743.16,407.23,556.15
2532.09,741.7,404.3,532.71
2532.12,747.56,415.53,545.41
2532.16,736.82,426.27,549.8
2532.19,733.89,419.92,537.11
2532.23,753.91,414.06,547.85
2532.26,736.33,410.64,543.46
2532.29,738.28,415.53,539.55
2532.33,729.49,410.64,537.11
2532.36,735.35,402.34,537.11
2532.4,733.89,413.57,551.76
2532.43,739.75,415.53,538.09
2532.46,727.54,412.6,543.95
2532.5,744.63,420.9,544.92
2532.53,756.35,409.18,546.87
2532.57,738.77,418.95,551.76
2532.6,745.12,419.43,552.73
2532.63,737.79,414.06,548.83
2532.67,744.14,416.5,541.99
2532.7,730.96,405.27,547.85
2532.73,729,417.48,542.97
2532.77,751.46,407.71,552.73
2532.8,742.68,415.53,538.09
2532.84,739.26,416.02,548.83
2532.87,749.51,416.5,544.43
2532.9,740.23,407.23,562.01
2532.94,742.19,416.02,560.55
2532.97,728.52,403.81,544.92
2533.01,750,413.57,537.6
2533.04,745.12,404.3,550.78
2533.07,735.84,421.39,544.43
2533.11,725.59,412.11,537.11
2533.14,740.72,409.18,550.29
2533.18,735.35,408.69,547.36
2533.21,728.03,402.34,549.32
2533.24,745.12,411.62,537.6
2533.28,744.14,413.57,548.83
2533.31,744.14,398.44,545.41
2533.34,739.26,407.23,536.13
2533.38,745.61,405.76,542.97
2533.41,734.37,412.6,553.71
2533.45,720.7,400.39,554.2
2533.48,740.72,404.3,542.48
2533.51,740.72,413.57,549.32
2533.55,748.54,418.46,531.25
2533.58,730.47,422.85,542.48
2533.62,728.03,422.36,543.46
2533.65,752.44,409.67,551.27
2533.68,754.88,416.02,550.29
2533.72,736.82,406.25,544.43
2533.75,747.07,414.55,545.41
2533.79,744.14,414.55,534.18
2533.82,742.68,422.36,547.85
2533.85,745.12,408.2,542.48
2533.89,741.7,410.64,538.57
2533.92,738.28,406.74,528.81
2533.95,739.75,411.62,551.27
2533.99,730.96,413.09,541.02
2534.02,746.58,403.32,532.23
2534.06,747.56,418.46,539.06
2534.09,743.65,417.97,545.9
2534.12,733.4,420.9,546.39
2534.16,735.84,410.16,548.83
2534.19,724.61,416.5,557.13
2534.23,744.63,415.53,532.23
2534.26,747.07,414.06,541.02
2534.29,742.19,412.6,541.02
2534.33,760.25,401.86,544.43
2534.36,750,413.09,543.46
2534.4,734.86,402.34,548.83
2534.43,744.14,421.39,548.83
2534.46,736.82,413.57,546.39
2534.5,739.75,406.25,543.95
2534.53,741.21,404.3,550.78
2534.56,732.91,409.67,546.87
2534.6,739.26,419.92,538.57
2534.63,743.65,418.95,529.79
2534.67,733.4,408.2,544.43
2534.7,744.63,411.13,540.53
2534.73,729.98,422.85,530.76
2534.77,750.98,427.73,540.53
2534.8,737.79,403.81,552.25
2534.84,736.82,408.69,544.43
2534.87,732.91,401.86,545.41
2534.9,737.79,409.18,546.39
2534.94,731.45,407.71,559.57
2534.97,735.84,413.57,541.02
2535.01,734.37,412.11,533.2
