Program Time [s],data 0,data 1,data 2
10.8223,717.29,353.52,610.35
10.8267,723.63,359.37,616.21
10.831,715.82,352.05,613.28
10.8354,723.14,354,622.07
10.8398,710.45,345.7,606.93
10.8442,707.52,353.03,625.98
10.8485,715.33,353.52,617.68
10.8529,722.17,357.91,613.28
10.8573,722.17,347.66,616.21
10.8616,716.8,351.07,625
10.866,721.68,354,620.12
10.8703,708.98,352.05,614.75
10.8747,719.73,352.54,615.72
10.8791,726.07,351.07,623.54
10.8834,726.56,354.49,622.56
10.8834,716.31,351.56,615.23
10.8894,712.89,346.19,615.23
10.8938,717.77,363.28,613.77
10.8981,714.36,355.47,613.28
10.9025,712.4,349.12,626.95
10.9068,716.8,347.17,619.14
10.9112,716.8,341.31,612.3
10.9156,719.73,341.31,629.39
10.9199,714.36,347.17,625.98
10.9243,722.66,337.89,615.23
10.9287,706.05,351.07,610.35
10.9331,723.63,343.75,624.02
10.9374,715.82,350.1,622.56
10.9418,714.36,343.75,614.26
10.9461,708.98,356.45,604
10.9505,702.15,352.05,616.21
10.9549,707.52,356.93,621.09
10.9593,725.59,346.68,613.28
10.9636,723.14,349.61,607.42
10.968,719.73,345.21,616.7
10.9723,724.61,346.19,607.42
10.9767,717.29,356.45,611.82
10.9811,705.57,350.59,622.56
10.9854,718.75,340.82,613.77
10.9898,719.24,352.05,607.42
10.9942,716.31,341.31,624.02
10.9985,714.84,361.33,626.46
11.0029,711.91,339.84,615.72
11.0073,731.45,348.63,616.7
11.0116,723.14,351.07,622.56
11.016,723.14,352.54,628.42
11.0203,716.31,352.54,615.23
11.0203,720.21,359.37,620.12
11.0264,718.75,345.21,616.21
11.0307,721.19,361.82,619.14
11.0351,708.01,349.12,617.68
11.0394,708.5,346.68,629.39
11.0438,714.36,349.12,613.28
11.0482,718.26,365.23,616.21
11.0525,718.26,353.52,615.72
11.0569,712.89,355.47,615.23
11.0613,715.33,353.03,618.65
11.0656,708.01,345.7,618.16
11.07,722.17,351.07,622.56
11.0744,723.14,355.47,613.77
11.0787,717.29,357.91,619.14
11.0831,724.61,351.07,612.3
11.0874,722.66,352.05,609.37
11.0918,713.38,352.54,606.93
11.0962,712.4,353.52,603.52
11.1006,727.05,347.66,614.26
11.1049,709.96,333.01,618.16
11.1093,714.36,351.07,619.14
11.1137,726.56,338.87,619.63
11.118,718.75,350.1,628.42
11.1224,714.36,345.21,622.07
11.1268,715.82,363.77,607.42
11.1311,714.36,352.05,615.23
11.1355,718.26,359.37,619.63
11.1398,728.03,349.12,619.63
11.1442,717.29,345.21,618.65
11.1486,712.4,354,623.54
11.1529,719.24,350.1,613.28
11.1573,729.98,347.66,623.05
11.1573,711.91,342.77,623.54
11.1633,715.82,350.59,616.7
11.1676,717.29,341.8,622.56
11.172,715.33,349.61,610.35
11.1764,717.77,361.33,608.4
11.1807,721.68,350.1,615.72
11.1851,713.38,336.43,604.98
11.1895,716.31,360.35,622.07
11.1938,715.82,352.05,615.23
11.1982,718.75,348.14,610.84
11.2026,730.96,337.4,609.86
11.207,717.29,350.59,615.72
11.2113,719.24,352.54,621.58
11.2157,722.17,350.1,610.35
11.22,729.98,354,614.75
11.2244,728.03,352.54,615.23
11.2287,707.52,348.63,616.7
11.2331,714.84,351.56,614.75
11.2374,713.38,338.87,625.49
11.2418,727.05,350.59,619.63
11.2462,725.1,342.77,612.79
11.2506,714.84,352.05,617.19
11.2549,715.33,349.61,619.63
11.2594,724.61,347.17,618.16
11.2636,722.66,358.4,615.72
11.268,732.91,352.54,619.63
11.2724,715.82,354,615.23
11.2768,715.82,342.29,620.12
11.2811,726.56,351.56,612.79
11.2855,714.84,348.14,613.77
11.2899,722.66,354,609.86
11.2943,724.61,354.49,617.68
11.2943,711.91,356.45,620.61
11.3002,726.56,339.36,616.21
11.3046,716.8,343.75,606.45
