2023-03-09 17:50:36,769 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 17:51:43,715 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 17:51:47,124 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 17:52:36,245 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 17:53:06,219 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 17:53:09,290 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 17:53:44,826 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 17:55:12,488 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 17:55:15,203 | MainThread   | [ERROR   ] | _connect            |: [org.bluez.Error.Failed] le-connection-abort-by-local
2023-03-09 17:55:16,206 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-03-09 17:55:16,209 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 17:55:19,392 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 17:56:48,422 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-03-09 17:56:48,506 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-03-09 17:56:48,507 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2023-03-09 17:56:48,696 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-03-09 17:56:48,709 | MainThread   | [WARNING ] | __del__             |: Event loop stopped before Future completed.
2023-03-09 17:56:56,368 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=6, releaselevel='final', serial=0)
2023-03-09 17:56:56,368 | MainThread   | [DEBUG   ] | __init__            |: System Info: Linux-5.19.0-32-generic-x86_64-with-glibc2.35
2023-03-09 17:56:56,368 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 17:56:59,119 | MainThread   | [ERROR   ] | _connect            |: [org.bluez.Error.Failed] le-connection-abort-by-local
2023-03-09 17:57:00,122 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-03-09 17:57:00,126 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 17:57:03,249 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:03:47,113 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 18:03:58,285 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 18:04:01,393 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 18:06:30,915 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
